DATA;PDV; FANTASIA ;MODALIDADE;POPULAR;CDC;APROVADAS;NEGADAS;RESTRICOES;PENDENTE;CANCELADAS;PRÉ CADASTRO;TOTAL
26/04/2025;91660; TACK CELL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
29/04/2025;92171; BRALUX ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
30/04/2025;92598; JOHN CELL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
08/05/2025;92761; K M AUTO CENTER PECAS E SERVICOS ;CDC;0;R$ 0,00;0;0;1;0;0;0;1
08/05/2025;92764; BARATAO DO CELULAR ;CDC;0;R$ 0,00;0;3;3;0;0;0;6
14/05/2025;92885; PORTO CELULARES - CENTRO ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
15/05/2025;92939; JM VARIEDADES ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
16/05/2025;92953; MT STORY ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
22/05/2025;93079; LOJA DA LAIS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
22/05/2025;93098; MAJAN MATERIAL PARA CONSTRUCAO ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
27/05/2025;93296; JKM IMPORTS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
30/05/2025;93448; BET CELL ;CDC;0;R$ 966,03;1;0;0;0;0;1;2
03/06/2025;93496; L S CELULARES ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
03/06/2025;93506; J CELL - CENTRO ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
04/06/2025;93510; MAS AUDIO MUSICA & TECNOLOGIA ;CDC;0;R$ 0,00;0;0;0;0;0;1;1
06/06/2025;93570; MARCOS CELULARES ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
06/06/2025;93590; DIGITAL.COM ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
09/06/2025;93656; RR CELL ;CDC;0;R$ 2.403,08;1;3;1;0;0;0;5
10/06/2025;93830; ESPACO TECH - MIMOSO DO OESTE ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
11/06/2025;94118; FEIRAO DOS MOVEIS - CENTRO ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
13/06/2025;94227; VAL CELL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
13/06/2025;94250; MB BIKE ;CDC;0;R$ 0,00;0;0;1;0;0;0;1
16/06/2025;94279; CAROL BIKE ;CDC;0;R$ 4.085,04;2;2;1;0;0;5;10
17/06/2025;94298; JFC IMPORTS ;CDC;0;R$ 0,00;0;1;0;0;0;0;1
17/06/2025;94308; MULT TECH CELULARES ;CDC;0;R$ 0,00;0;1;0;0;0;0;1
18/06/2025;94329; CELL SHOP - RIO GRANDE ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
20/06/2025;94363; DK IMPORTHS ;CDC;0;R$ 965,93;0;2;3;0;0;0;5
20/06/2025;94365; THIAGO CELULARES E CIA ;CDC;0;R$ 0,00;0;0;0;0;0;1;1
20/06/2025;94387; SO IPHONE ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
23/06/2025;94391; MATEUS CELULARES - CAPANEMA ;CDC;0;R$ 0,00;0;1;0;0;0;0;1
24/06/2025;94421; 21 INFORMATICA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
25/06/2025;94471; ARTEZA IMPORTS ;CDC;0;R$ 0,00;0;4;1;0;0;1;6
25/06/2025;94475; ALEH IMPORTS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
